#{"t_start": 1783350907.7420318, "env_id": "CartPole-v1"}
r,l,t
10.0,10,2.031713
11.0,11,2.034575
9.0,9,2.0365
8.0,8,2.037875
9.0,9,2.039404
9.0,9,2.041971
9.0,9,2.043372
8.0,8,2.044815
10.0,10,2.046734
11.0,11,2.049993
10.0,10,2.051576
10.0,10,2.054386
8.0,8,2.055855
10.0,10,2.058529
8.0,8,2.05998
11.0,11,2.062028
12.0,12,2.064141
9.0,9,2.067118
10.0,10,2.069087
10.0,10,2.070694
10.0,10,2.072672
9.0,9,2.07525
11.0,11,2.077302
11.0,11,2.078964
10.0,10,2.080857
11.0,11,2.084166
11.0,11,2.08583
11.0,11,2.087915
9.0,9,2.089364
12.0,12,2.092674
8.0,8,2.094134
10.0,10,2.096167
9.0,9,2.097626
8.0,8,2.100342
10.0,10,2.10228
8.0,8,2.10372
10.0,10,2.105365
10.0,10,2.108397
10.0,10,2.109884
9.0,9,2.111388
9.0,9,2.113297
9.0,9,2.116016
9.0,9,2.117518
9.0,9,2.119003
9.0,9,2.120892
13.0,13,2.124311
10.0,10,2.125807
9.0,9,2.127665
9.0,9,2.129201
9.0,9,2.131843
9.0,9,2.133419
10.0,10,2.135439
12.0,12,2.137512
8.0,8,2.140137
9.0,9,2.141636
10.0,10,2.143576
10.0,10,2.145127
9.0,9,2.147732
9.0,9,2.149793
9.0,9,2.151279
12.0,12,2.153292
11.0,11,2.156469
9.0,9,2.157975
13.0,13,2.160794
11.0,11,2.162849
9.0,9,2.165529
11.0,11,2.167582
11.0,11,2.169625
11.0,11,2.171294
9.0,9,2.174337
9.0,9,2.175781
11.0,11,2.177768
10.0,10,2.179408
11.0,11,2.182626
9.0,9,2.184195
11.0,11,2.186262
10.0,10,2.187828
10.0,10,2.191039
9.0,9,2.192506
9.0,9,2.193998
10.0,10,2.19596
12.0,12,2.199333
11.0,11,2.201387
12.0,12,2.203504
12.0,12,2.2056
11.0,11,2.208535
12.0,12,2.210633
11.0,11,2.212688
12.0,12,2.214769
10.0,10,2.21815
12.0,12,2.220326
11.0,11,2.221958
12.0,12,2.224017
11.0,11,2.227176
10.0,10,2.229128
10.0,10,2.230666
12.0,12,2.232929
12.0,12,2.23616
10.0,10,2.23814
14.0,14,2.240467
11.0,11,2.242431
11.0,11,2.245656
12.0,12,2.262271
12.0,12,2.279641
9.0,9,2.284364
10.0,10,2.297548
12.0,12,2.300295
9.0,9,2.306743
10.0,10,2.31107
11.0,11,2.315862
13.0,13,2.318034
11.0,11,2.320195
10.0,10,2.321764
10.0,10,2.325168
10.0,10,2.326718
12.0,12,2.328776
9.0,9,2.330641
11.0,11,2.3336
13.0,13,2.336189
11.0,11,2.337887
14.0,14,2.340486
13.0,13,2.343946
12.0,12,2.346126
11.0,11,2.348157
12.0,12,2.350723
11.0,11,2.354305
13.0,13,2.356555
13.0,13,2.35887
9.0,9,2.360422
10.0,10,2.364111
10.0,10,2.367326
11.0,11,2.369528
10.0,10,2.371553
11.0,11,2.374853
11.0,11,2.377081
11.0,11,2.379528
10.0,10,2.381192
11.0,11,2.385589
10.0,10,2.387795
9.0,9,2.389415
13.0,13,2.391684
10.0,10,2.396512
11.0,11,2.398793
10.0,10,2.401602
11.0,11,2.403856
13.0,13,2.408065
14.0,14,2.410586
13.0,13,2.413429
15.0,15,2.416097
10.0,10,2.419591
10.0,10,2.421141
12.0,12,2.423445
9.0,9,2.425459
10.0,10,2.428389
14.0,14,2.431009
9.0,9,2.432859
11.0,11,2.435003
9.0,9,2.437774
9.0,9,2.43925
9.0,9,2.440702
9.0,9,2.442581
9.0,9,2.445331
9.0,9,2.446827
11.0,11,2.448911
10.0,10,2.450639
14.0,14,2.454377
10.0,10,2.455942
10.0,10,2.457945
10.0,10,2.45945
9.0,9,2.462434
10.0,10,2.464019
10.0,10,2.46611
8.0,8,2.46758
11.0,11,2.470558
