#{"t_start": 1783351590.113035, "env_id": "CartPole-v1"}
r,l,t
9.0,9,2.907883
13.0,13,2.910536
13.0,13,2.913722
10.0,10,2.915312
9.0,9,2.917288
9.0,9,2.918746
10.0,10,2.921353
10.0,10,2.923275
10.0,10,2.924774
8.0,8,2.926178
10.0,10,2.929595
10.0,10,2.931169
9.0,9,2.933047
9.0,9,2.934598
10.0,10,2.93732
9.0,9,2.939216
11.0,11,2.940721
9.0,9,2.942691
11.0,11,2.945673
11.0,11,2.947813
8.0,8,2.949261
9.0,9,2.950806
10.0,10,2.954013
12.0,12,2.956131
9.0,9,2.957651
10.0,10,2.959634
10.0,10,2.962564
10.0,10,2.964612
10.0,10,2.96616
10.0,10,2.968888
8.0,8,2.971515
9.0,9,2.973054
9.0,9,2.97454
8.0,8,2.975975
9.0,9,2.978843
8.0,8,2.980315
9.0,9,2.982228
9.0,9,2.983767
10.0,10,2.986559
9.0,9,2.988595
9.0,9,2.990116
9.0,9,2.991654
9.0,9,2.994382
10.0,10,2.996442
10.0,10,2.998039
9.0,9,3.000008
9.0,9,3.002795
10.0,10,3.004375
10.0,10,3.006398
9.0,9,3.007867
9.0,9,3.010586
8.0,8,3.012215
9.0,9,3.01421
10.0,10,3.01582
10.0,10,3.019125
9.0,9,3.020686
10.0,10,3.022249
12.0,12,3.024332
11.0,11,3.027534
8.0,8,3.029151
9.0,9,3.030686
10.0,10,3.032657
10.0,10,3.035457
10.0,10,3.037409
9.0,9,3.038966
10.0,10,3.040919
9.0,9,3.043559
9.0,9,3.045203
9.0,9,3.046798
10.0,10,3.048865
8.0,8,3.051508
9.0,9,3.052987
11.0,11,3.055043
10.0,10,3.056656
10.0,10,3.059742
10.0,10,3.061306
8.0,8,3.062915
10.0,10,3.064964
10.0,10,3.067692
11.0,11,3.069715
9.0,9,3.071879
10.0,10,3.073859
10.0,10,3.076501
9.0,9,3.078619
9.0,9,3.080209
9.0,9,3.081732
9.0,9,3.08444
10.0,10,3.086426
11.0,11,3.088545
9.0,9,3.090086
10.0,10,3.092888
9.0,9,3.094874
10.0,10,3.096698
10.0,10,3.098685
9.0,9,3.101479
9.0,9,3.102991
9.0,9,3.104517
8.0,8,3.105924
10.0,10,3.109011
10.0,10,3.110611
10.0,10,3.112855
9.0,9,3.11441
11.0,11,3.117677
11.0,11,3.119757
9.0,9,3.121251
11.0,11,3.125734
9.0,9,3.130043
9.0,9,3.131642
10.0,10,3.133801
9.0,9,3.135357
9.0,9,3.138232
11.0,11,3.140348
9.0,9,3.141857
10.0,10,3.143927
10.0,10,3.147319
10.0,10,3.149334
10.0,10,3.150936
8.0,8,3.152331
9.0,9,3.155029
10.0,10,3.157054
9.0,9,3.158532
8.0,8,3.159991
11.0,11,3.163608
10.0,10,3.165188
8.0,8,3.166625
11.0,11,3.168593
10.0,10,3.171844
8.0,8,3.173263
11.0,11,3.174803
9.0,9,3.177762
10.0,10,3.180729
9.0,9,3.182151
9.0,9,3.184089
9.0,9,3.185608
9.0,9,3.188163
10.0,10,3.190108
10.0,10,3.191675
9.0,9,3.193184
8.0,8,3.196266
10.0,10,3.198179
13.0,13,3.200499
10.0,10,3.202474
11.0,11,3.205328
8.0,8,3.206764
9.0,9,3.208634
8.0,8,3.210114
11.0,11,3.213115
10.0,10,3.215143
12.0,12,3.217238
9.0,9,3.21874
9.0,9,3.221418
11.0,11,3.223428
9.0,9,3.2249
10.0,10,3.22687
9.0,9,3.229806
9.0,9,3.231277
8.0,8,3.232645
13.0,13,3.23532
9.0,9,3.238102
8.0,8,3.239592
10.0,10,3.241084
9.0,9,3.243039
12.0,12,3.246529
9.0,9,3.248025
9.0,9,3.249499
8.0,8,3.25096
10.0,10,3.254091
8.0,8,3.255476
9.0,9,3.25689
10.0,10,3.258491
10.0,10,3.261878
10.0,10,3.263561
12.0,12,3.265734
9.0,9,3.267665
9.0,9,3.270343
10.0,10,3.271934
10.0,10,3.273973
9.0,9,3.275446
12.0,12,3.279025
10.0,10,3.281774
10.0,10,3.283303
11.0,11,3.28532
10.0,10,3.288055
9.0,9,3.289907
8.0,8,3.29129
11.0,11,3.293011
9.0,9,3.296652
10.0,10,3.29827
8.0,8,3.299685
8.0,8,3.301142
8.0,8,3.30372
10.0,10,3.305677
10.0,10,3.307265
11.0,11,3.309338
8.0,8,3.312143
8.0,8,3.313628
10.0,10,3.315207
9.0,9,3.317128
9.0,9,3.31983
10.0,10,3.321349
15.0,15,3.324074
11.0,11,3.326105
9.0,9,3.329234
9.0,9,3.330695
9.0,9,3.332529
8.0,8,3.333935
9.0,9,3.336704
11.0,11,3.338745
10.0,10,3.340345
10.0,10,3.342316
8.0,8,3.345074
8.0,8,3.346643
8.0,8,3.34807
10.0,10,3.349744
8.0,8,3.352357
12.0,12,3.354457
10.0,10,3.356501
10.0,10,3.358051
9.0,9,3.360691
10.0,10,3.362822
10.0,10,3.364373
10.0,10,3.366377
10.0,10,3.369042
9.0,9,3.370902
10.0,10,3.372434
9.0,9,3.373975
9.0,9,3.377123
10.0,10,3.378976
8.0,8,3.380464
10.0,10,3.382471
10.0,10,3.385322
8.0,8,3.387484
10.0,10,3.389488
10.0,10,3.391122
11.0,11,3.394368
9.0,9,3.396065
10.0,10,3.398212
9.0,9,3.399742
9.0,9,3.402515
10.0,10,3.404555
10.0,10,3.406145
9.0,9,3.407678
9.0,9,3.410831
9.0,9,3.412548
10.0,10,3.414116
10.0,10,3.416101
9.0,9,3.418884
9.0,9,3.420407
10.0,10,3.422382
9.0,9,3.423891
9.0,9,3.426548
13.0,13,3.429287
8.0,8,3.430735
10.0,10,3.432335
8.0,8,3.435044
10.0,10,3.437037
10.0,10,3.438567
12.0,12,3.4407
10.0,10,3.443811
12.0,12,3.446094
10.0,10,3.447696
11.0,11,3.449765
11.0,11,3.453054
10.0,10,3.454614
10.0,10,3.456629
10.0,10,3.458225
9.0,9,3.460836
8.0,8,3.462457
9.0,9,3.464371
10.0,10,3.465946
8.0,8,3.468603
9.0,9,3.470135
11.0,11,3.472204
10.0,10,3.47421
10.0,10,3.477007
10.0,10,3.479213
12.0,12,3.481297
9.0,9,3.482763
10.0,10,3.485554
9.0,9,3.487456
9.0,9,3.48903
10.0,10,3.491314
9.0,9,3.494457
10.0,10,3.496175
10.0,10,3.49822
9.0,9,3.499817
9.0,9,3.502563
9.0,9,3.504156
9.0,9,3.506101
10.0,10,3.507703
10.0,10,3.511007
10.0,10,3.512614
9.0,9,3.516637
12.0,12,3.55082
12.0,12,3.569962
10.0,10,3.574184
11.0,11,3.583273
9.0,9,3.585347
11.0,11,3.58939
8.0,8,3.590894
10.0,10,3.592765
11.0,11,3.596411
9.0,9,3.59932
10.0,10,3.60152
8.0,8,3.602955
10.0,10,3.60454
11.0,11,3.607847
9.0,9,3.609281
9.0,9,3.6109
10.0,10,3.612904
9.0,9,3.615587
10.0,10,3.617527
9.0,9,3.619003
10.0,10,3.620575
11.0,11,3.62373
9.0,9,3.62518
9.0,9,3.627253
9.0,9,3.628802
8.0,8,3.631526
8.0,8,3.632919
10.0,10,3.63458
9.0,9,3.636532
10.0,10,3.639378
8.0,8,3.640861
9.0,9,3.642342
9.0,9,3.644409
9.0,9,3.647129
10.0,10,3.648677
9.0,9,3.650621
9.0,9,3.652133
10.0,10,3.654971
9.0,9,3.656914
9.0,9,3.658406
10.0,10,3.660098
8.0,8,3.662823
12.0,12,3.664894
11.0,11,3.666876
9.0,9,3.6684
8.0,8,3.670922
9.0,9,3.672851
9.0,9,3.674322
9.0,9,3.675834
11.0,11,3.679237
10.0,10,3.680804
9.0,9,3.682711
9.0,9,3.684254
11.0,11,3.687348
10.0,10,3.688921
10.0,10,3.690889
9.0,9,3.692371
10.0,10,3.69597
10.0,10,3.697967
9.0,9,3.699485
9.0,9,3.701012
10.0,10,3.704191
9.0,9,3.705656
10.0,10,3.707669
9.0,9,3.709125
10.0,10,3.712055
9.0,9,3.713952
10.0,10,3.71555
10.0,10,3.717451
10.0,10,3.720116
9.0,9,3.72163
11.0,11,3.723671
8.0,8,3.725148
8.0,8,3.727896
9.0,9,3.729347
9.0,9,3.731179
9.0,9,3.732691
10.0,10,3.735306
8.0,8,3.736641
11.0,11,3.738657
10.0,10,3.740644
10.0,10,3.743246
10.0,10,3.745365
8.0,8,3.746755
8.0,8,3.748214
10.0,10,3.750956
10.0,10,3.752853
8.0,8,3.754286
8.0,8,3.755793
10.0,10,3.758466
9.0,9,3.76003
11.0,11,3.762181
9.0,9,3.763762
10.0,10,3.766827
10.0,10,3.768321
8.0,8,3.769787
10.0,10,3.771811
9.0,9,3.774425
10.0,10,3.776438
9.0,9,3.778046
10.0,10,3.779661
10.0,10,3.782727
9.0,9,3.784265
9.0,9,3.785786
11.0,11,3.787835
9.0,9,3.790528
9.0,9,3.792448
10.0,10,3.794121
10.0,10,3.796119
8.0,8,3.798803
10.0,10,3.800319
11.0,11,3.803199
11.0,11,3.80522
9.0,9,3.807914
10.0,10,3.809546
8.0,8,3.8111
10.0,10,3.813107
10.0,10,3.815823
8.0,8,3.817223
9.0,9,3.819155
10.0,10,3.820761
10.0,10,3.823985
10.0,10,3.825518
10.0,10,3.827656
8.0,8,3.829127
11.0,11,3.831922
10.0,10,3.833961
10.0,10,3.835548
10.0,10,3.837569
9.0,9,3.840197
10.0,10,3.842105
11.0,11,3.84381
9.0,9,3.845758
9.0,9,3.84847
9.0,9,3.849897
10.0,10,3.851854
10.0,10,3.853418
9.0,9,3.856016
11.0,11,3.858037
9.0,9,3.859508
9.0,9,3.861733
8.0,8,3.864292
11.0,11,3.865873
9.0,9,3.867776
9.0,9,3.869298
11.0,11,3.872543
9.0,9,3.874023
13.0,13,3.87621
9.0,9,3.877908
11.0,11,3.88113
10.0,10,3.883122
8.0,8,3.884588
10.0,10,3.886093
9.0,9,3.88871
11.0,11,3.89079
10.0,10,3.892857
11.0,11,3.894613
10.0,10,3.897791
10.0,10,3.899352
10.0,10,3.901345
9.0,9,3.903539
11.0,11,3.906896
10.0,10,3.90847
11.0,11,3.910804
10.0,10,3.912837
8.0,8,3.915644
10.0,10,3.917275
11.0,11,3.919408
10.0,10,3.92108
11.0,11,3.92442
9.0,9,3.925832
9.0,9,3.927853
11.0,11,3.929537
11.0,11,3.932806
8.0,8,3.934264
9.0,9,3.935743
9.0,9,3.937679
9.0,9,3.940416
12.0,12,3.942528
9.0,9,3.944183
11.0,11,3.946255
9.0,9,3.948939
11.0,11,3.951004
10.0,10,3.952631
9.0,9,3.9546
9.0,9,3.957271
9.0,9,3.958754
11.0,11,3.960926
11.0,11,3.963019
11.0,11,3.965923
9.0,9,3.967892
9.0,9,3.969415
10.0,10,3.970999
11.0,11,3.974291
9.0,9,3.975802
10.0,10,3.977935
9.0,9,3.979456
9.0,9,3.982114
11.0,11,3.984404
11.0,11,3.986487
10.0,10,3.988065
10.0,10,3.991241
10.0,10,3.992902
10.0,10,3.994933
8.0,8,3.996371
10.0,10,3.999138
9.0,9,4.001046
11.0,11,4.002713
9.0,9,4.00468
9.0,9,4.007331
10.0,10,4.009631
10.0,10,4.011776
9.0,9,4.013275
9.0,9,4.015972
11.0,11,4.018049
12.0,12,4.020188
10.0,10,4.022177
11.0,11,4.025001
11.0,11,4.027129
12.0,12,4.029261
11.0,11,4.031335
9.0,9,4.034023
11.0,11,4.036115
10.0,10,4.03765
9.0,9,4.039575
11.0,11,4.042322
9.0,9,4.044453
12.0,12,4.046653
11.0,11,4.048292
12.0,12,4.051586
10.0,10,4.053542
9.0,9,4.054949
14.0,14,4.05754
10.0,10,4.060426
10.0,10,4.062419
10.0,10,4.063929
11.0,11,4.066008
9.0,9,4.068733
10.0,10,4.070687
10.0,10,4.072212
9.0,9,4.073724
10.0,10,4.076887
11.0,11,4.07901
9.0,9,4.080545
13.0,13,4.082701
10.0,10,4.085854
9.0,9,4.087363
10.0,10,4.088888
10.0,10,4.090867
9.0,9,4.093599
9.0,9,4.09511
9.0,9,4.097039
10.0,10,4.098598
9.0,9,4.101247
10.0,10,4.103204
10.0,10,4.104714
10.0,10,4.106713
11.0,11,4.109727
9.0,9,4.111297
9.0,9,4.112781
10.0,10,4.115435
12.0,12,4.118667
9.0,9,4.120224
12.0,12,4.122337
10.0,10,4.123837
12.0,12,4.127229
12.0,12,4.129354
10.0,10,4.13132
9.0,9,4.132787
11.0,11,4.13593
11.0,11,4.13794
10.0,10,4.139532
13.0,13,4.141632
11.0,11,4.144927
10.0,10,4.146974
9.0,9,4.148466
10.0,10,4.149974
10.0,10,4.153193
10.0,10,4.154732
12.0,12,4.156871
10.0,10,4.158844
11.0,11,4.16223
11.0,11,4.163871
11.0,11,4.165916
9.0,9,4.167438
11.0,11,4.170679
10.0,10,4.172643
11.0,11,4.174303
11.0,11,4.176458
9.0,9,4.179186
9.0,9,4.181027
10.0,10,4.182582
12.0,12,4.184792
10.0,10,4.187931
9.0,9,4.189521
